Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
CDNS,"Cadence Design Systems, Inc.",STOCK,65.15,2.86x,100,2.75x,86,48.71x,100,N/A,N/A,36.02%,88,47.83x,7,35.84x,46,0.34%,34,89.59%,98,78.81x,0,N/A,N/A,16.71x,90,20.93%,84,Strong Buy (1.42),89,21.86%,98,6.20%,59,2.15%,95
CDW,CDW Corporation,STOCK,67.26,1.18x,25,3.76x,71,236.87x,1,1.89%,33,8.77%,1,11.55x,97,11.74x,99,0.40%,34,98.74%,99,16.47x,99,1.33x,58,6.61x,97,4.76%,19,Buy (1.91),76,43.02%,100,6.30%,59,5.33%,81
CEG,Constellation Energy Corporation,STOCK,50.50,1.53x,65,3.51x,75,63.94x,90,0.54%,9,22.06%,9,21.36x,2,22.99x,65,0.35%,34,78.85%,94,42.53x,16,3.74x,0,6.78x,0,9.08%,36,Buy (1.76),81,16.36%,82,12.90%,91,3.18%,92
CF,"CF Industries Holdings, Inc.",STOCK,72.70,3.37x,100,1.38x,95,46.77x,100,1.62%,12,45.74%,100,7.28x,89,13.23x,94,0.43%,35,107.14%,100,13.77x,81,4.00x,0,3.92x,20,20.54%,82,Hold (3.00),27,23.40%,99,22.80%,99,6.16%,74
CFG,"Citizens Financial Group, Inc.",STOCK,65.31,N/A,N/A,0.01x,99,N/A,N/A,2.84%,60,0.00%,0,N/A,N/A,10.15x,97,0.73%,36,99.46%,99,15.35x,27,1.65x,29,1.15x,93,25.05%,100,Strong Buy (1.44),89,7.74%,21,13.80%,93,0.01%,98
CHD,"Church & Dwight Co., Inc.",STOCK,45.42,1.07x,16,3.66x,73,59.52x,99,1.29%,19,22.29%,98,17.76x,6,23.87x,61,0.20%,33,93.32%,99,31.59x,0,2.97x,0,5.64x,2,11.88%,48,Buy (2.29),60,17.62%,88,3.90%,42,3.70%,90
CHRW,"C.H. Robinson Worldwide, Inc.",STOCK,36.69,1.53x,65,5.26x,39,75.60x,91,1.34%,20,5.39%,1,26.95x,2,26.32x,48,0.40%,34,103.79%,99,39.09x,25,2.77x,0,12.09x,0,3.62%,14,Buy (2.00),73,32.91%,100,-6.50%,3,7.52%,61
CHTR,"Charter Communications, Inc.",STOCK,58.35,0.40x,1,10.46x,1,461.82x,0,N/A,N/A,40.22%,100,5.59x,99,3.97x,99,31.60%,25,72.95%,90,4.72x,99,0.30x,80,1.38x,92,9.03%,36,Hold (2.89),32,27.50%,100,-1.00%,15,35.76%,0
CI,The Cigna Group,STOCK,74.97,0.85x,6,4.06x,65,75.14x,92,2.21%,42,4.38%,1,8.08x,99,8.46x,98,1.44%,40,92.01%,98,12.73x,97,0.80x,99,1.78x,86,2.17%,9,Strong Buy (1.42),89,15.13%,74,10.40%,83,2.72%,93
CIEN,Ciena Corporation,STOCK,44.32,2.81x,100,1.42x,95,56.93x,99,N/A,N/A,11.13%,2,126.00x,0,59.92x,1,0.58%,35,98.69%,99,333.12x,0,2.17x,5,25.65x,75,4.47%,18,Buy (2.00),73,8.20%,16,33.10%,100,5.23%,81
CINF,Cincinnati Financial Corporation,STOCK,80.28,0.64x,2,3.13x,81,5.57x,76,2.14%,40,25.34%,83,7.84x,98,17.97x,84,1.67%,41,70.95%,89,10.92x,91,N/A,N/A,1.62x,82,18.95%,76,Buy (2.12),68,16.04%,97,21.80%,99,1.74%,96
CL,Colgate-Palmolive Company,STOCK,51.81,0.83x,6,3.13x,81,2343.56x,0,2.52%,51,23.88%,99,15.39x,26,20.66x,75,0.15%,33,86.23%,97,32.00x,0,1.50x,41,1256.27x,0,10.46%,42,Buy (2.00),73,497.47%,100,5.80%,56,2.70%,93
CLX,The Clorox Company,STOCK,55.77,0.74x,4,3.74x,71,9191.43x,0,5.13%,96,18.17%,89,12.08x,80,14.43x,92,0.60%,35,84.90%,97,15.82x,92,2.04x,8,-93.48x,100,11.17%,45,Hold (3.11),23,987.18%,100,-0.80%,15,7.81%,58
CMCSA,Comcast Corporation,STOCK,68.07,0.86x,7,2.15x,91,106.86x,64,4.80%,94,28.23%,92,5.19x,99,7.22x,98,0.76%,36,89.38%,98,5.39x,99,142.98x,0,1.11x,94,15.00%,60,Hold (2.74),38,20.92%,96,5.30%,52,2.15%,95
CME,CME Group Inc.,STOCK,55.63,1.02x,13,2.24x,91,14.06x,84,1.84%,31,71.07%,100,21.57x,17,21.91x,70,0.48%,35,91.77%,98,24.04x,0,4.93x,0,3.83x,2,63.32%,100,Hold (2.69),41,15.92%,97,14.40%,94,1.47%,96
CMG,"Chipotle Mexican Grill, Inc.",STOCK,53.40,1.24x,31,2.57x,88,179.32x,10,N/A,N/A,19.97%,50,20.09x,27,24.71x,57,0.53%,35,90.76%,98,29.51x,62,1.87x,15,15.50x,0,12.88%,52,Buy (1.74),82,47.36%,100,4.90%,49,2.86%,93
CMI,Cummins Inc.,STOCK,54.09,1.76x,85,2.65x,87,60.52x,98,1.18%,17,15.41%,21,18.66x,39,20.93x,74,0.29%,34,87.36%,98,32.26x,51,1.81x,18,7.39x,0,8.44%,34,Buy (2.09),69,23.93%,99,1.10%,24,1.69%,96
CMS,CMS Energy Corporation,STOCK,62.63,0.98x,11,0.01x,99,194.86x,50,3.00%,64,35.35%,83,14.08x,63,18.23x,84,0.57%,35,97.84%,99,21.61x,86,2.95x,0,2.61x,64,12.54%,50,Buy (2.18),65,10.86%,34,12.30%,90,0.01%,98
CNC,Centene Corporation,STOCK,65.57,1.10x,19,2.20x,91,90.56x,80,N/A,N/A,1.45%,0,7.55x,100,10.93x,96,0.31%,34,98.82%,99,N/A,N/A,0.94x,92,1.07x,94,-3.79%,0,Hold (2.75),38,-28.68%,0,23.20%,100,3.21%,92
CNP,"CenterPoint Energy, Inc.",STOCK,47.28,1.17x,24,9.77x,1,215.59x,35,2.15%,40,38.93%,93,14.07x,63,20.60x,76,0.23%,34,101.62%,99,26.31x,74,2.47x,1,2.45x,69,11.38%,46,Buy (2.12),68,9.56%,24,1.90%,29,8.11%,54
COF,Capital One Financial Corporation,STOCK,61.92,N/A,N/A,1.60x,95,N/A,N/A,1.65%,27,0.00%,0,N/A,N/A,8.12x,98,1.87%,42,86.46%,97,59.91x,0,0.21x,72,1.12x,93,8.88%,36,Buy (1.61),85,3.26%,2,46.30%,100,1.35%,96
COHR,Coherent Corp.,STOCK,55.33,2.25x,98,1.12x,96,39.90x,99,N/A,N/A,19.20%,12,52.40x,3,42.34x,19,0.50%,35,87.69%,98,312.17x,0,0.92x,93,7.06x,96,4.66%,19,Buy (1.67),84,3.24%,3,17.50%,98,6.09%,75
COIN,"Coinbase Global, Inc.",STOCK,45.54,2.34x,99,2.30x,90,53.12x,100,N/A,N/A,24.28%,78,28.84x,1,38.60x,7,1.32%,39,68.93%,87,44.30x,0,0.77x,99,3.56x,4,18.31%,73,Buy (2.03),72,10.05%,51,-22.20%,0,12.82%,12
COO,"The Cooper Companies, Inc.",STOCK,58.48,1.34x,42,3.00x,83,33.20x,96,N/A,N/A,26.48%,97,13.83x,87,12.82x,94,0.62%,36,105.80%,100,32.01x,11,1.68x,26,1.50x,90,9.67%,39,Buy (2.12),68,4.87%,5,6.20%,59,3.23%,92
COP,ConocoPhillips,STOCK,53.16,1.30x,38,1.93x,93,37.83x,98,2.76%,58,40.08%,100,6.88x,80,14.32x,8,0.13%,33,85.31%,97,19.16x,7,1.20x,71,2.31x,73,13.25%,53,Buy (1.86),78,12.36%,49,-6.80%,3,1.63%,96
COR,"Cencora, Inc.",STOCK,57.87,0.92x,9,3.08x,82,472.58x,0,0.77%,12,1.52%,0,13.84x,87,15.83x,89,4.23%,56,96.81%,99,37.28x,3,0.73x,100,31.62x,0,0.50%,2,Buy (1.54),87,133.47%,100,5.50%,54,2.83%,93
COST,Costco Wholesale Corporation,STOCK,41.72,1.06x,16,3.71x,72,60.26x,99,0.59%,10,4.70%,1,32.75x,0,44.41x,2,0.17%,33,72.28%,90,51.95x,0,5.60x,0,26.77x,0,2.99%,12,Buy (1.97),74,29.65%,100,21.50%,99,1.48%,96
CPAY,"Corpay, Inc.",STOCK,84.87,0.98x,11,4.60x,53,243.35x,1,N/A,N/A,53.73%,100,12.12x,97,10.52x,99,3.80%,53,100.23%,99,20.82x,97,0.85x,97,5.51x,97,23.62%,94,Buy (1.71),82,29.07%,100,20.70%,99,4.22%,87
CPB,The Campbell's Company,STOCK,58.17,1.01x,13,3.81x,70,185.00x,8,7.59%,100,17.41%,84,7.43x,99,9.36x,97,33.63%,18,62.47%,77,11.17x,99,0.63x,99,1.53x,90,5.48%,22,Hold (3.05),25,13.89%,63,-4.50%,6,24.13%,0
CPRT,"Copart, Inc.",STOCK,65.70,10.06x,100,3.87x,69,0.98x,72,N/A,N/A,42.14%,100,13.88x,81,19.76x,79,8.66%,82,86.02%,97,20.87x,88,4.02x,0,3.27x,40,33.76%,100,N/A,N/A,17.13%,86,-3.60%,7,3.89%,89
CPT,Camden Property Trust,STOCK,38.83,0.03x,0,4.59x,54,88.40x,81,4.17%,88,56.71%,100,16.43x,60,59.85x,0,1.41%,40,104.57%,100,28.70x,1,9.17x,0,2.48x,20,24.23%,97,Buy (2.46),52,8.60%,18,2.20%,30,6.62%,70
CRH,CRH plc,STOCK,55.17,1.74x,84,2.36x,90,77.34x,90,1.29%,7,20.03%,36,12.67x,19,17.72x,85,0.14%,33,89.71%,98,21.17x,19,2.31x,3,3.25x,41,10.02%,40,Strong Buy (1.33),91,15.68%,78,6.20%,59,2.20%,95
CRL,"Charles River Laboratories International, Inc.",STOCK,52.41,1.29x,37,5.43x,35,81.95x,87,N/A,N/A,21.83%,85,12.43x,94,13.88x,93,0.85%,37,109.57%,100,N/A,N/A,0.12x,63,2.66x,62,-3.60%,0,Buy (1.76),81,-4.23%,0,-0.80%,15,10.87%,25
CRM,"Salesforce, Inc.",STOCK,75.00,0.76x,4,5.52x,33,29.95x,95,0.98%,14,30.22%,65,13.90x,96,12.07x,99,3.02%,49,95.70%,99,23.10x,96,0.97x,90,2.83x,98,17.96%,72,Buy (1.63),85,12.40%,49,12.10%,89,10.47%,29
CRWD,"CrowdStrike Holdings, Inc.",STOCK,53.76,1.77x,86,1.63x,94,18.34x,87,N/A,N/A,-0.97%,0,-2377.20x,100,73.66x,0,3.12%,49,75.35%,92,N/A,N/A,3.70x,0,26.01x,74,-3.38%,0,Buy (1.66),84,-4.14%,0,23.30%,100,2.62%,93
CSCO,"Cisco Systems, Inc.",STOCK,76.06,0.95x,10,2.59x,88,66.51x,96,1.90%,33,27.59%,51,22.38x,85,19.56x,95,0.06%,33,82.08%,96,31.75x,86,1.38x,53,7.30x,96,18.76%,75,Buy (1.85),78,23.75%,99,9.70%,80,1.47%,96
CSGP,"CoStar Group, Inc.",STOCK,51.43,2.84x,100,2.54x,88,13.67x,83,N/A,N/A,6.44%,2,70.61x,0,20.54x,76,1.16%,38,104.89%,100,1812.00x,0,0.15x,40,1.82x,63,0.22%,1,Buy (1.80),80,0.09%,1,26.90%,100,4.70%,85
CSX,CSX Corporation,STOCK,57.02,0.97x,11,3.31x,79,143.06x,30,1.23%,18,46.82%,100,15.52x,69,21.16x,73,0.24%,34,80.31%,95,27.89x,68,2.10x,7,6.22x,1,21.55%,86,Buy (2.04),71,23.68%,99,1.70%,27,2.27%,94
CTAS,Cintas Corporation,STOCK,55.49,1.98x,95,4.07x,65,60.94x,98,1.03%,15,26.33%,87,24.93x,5,32.08x,22,14.97%,100,67.70%,85,36.79x,33,2.80x,0,14.54x,0,17.57%,70,Buy (2.43),53,41.30%,100,8.90%,76,3.54%,90
CTRA,Coterra Energy Inc.,STOCK,65.79,1.19x,26,1.61x,95,26.98x,93,2.61%,53,69.12%,100,6.10x,88,11.40x,43,1.50%,40,96.22%,99,15.03x,38,44.67x,0,1.72x,87,24.56%,98,Buy (1.81),80,12.28%,48,23.40%,100,2.40%,94
CTSH,Cognizant Technology Solutions Corporation,STOCK,70.87,2.14x,97,6.56x,16,7.82x,78,2.42%,48,18.16%,10,6.62x,99,8.91x,99,0.11%,33,105.75%,100,11.98x,99,0.90x,95,1.74x,98,10.56%,42,Buy (2.14),67,15.16%,74,4.90%,49,9.83%,35
CTVA,"Corteva, Inc.",STOCK,46.57,1.43x,54,3.83x,70,12.28x,82,0.91%,4,21.83%,46,13.72x,11,19.61x,79,0.13%,33,88.02%,98,45.38x,0,1.16x,75,2.21x,76,6.29%,25,Buy (1.77),81,4.97%,5,-1.70%,12,2.74%,93
CVNA,Carvana Co.,STOCK,46.39,4.31x,100,4.90x,47,133.12x,38,N/A,N/A,10.62%,6,28.53x,1,38.32x,7,2.13%,44,104.76%,100,48.08x,7,N/A,N/A,16.81x,0,6.92%,28,Buy (2.04),71,67.95%,100,58.00%,100,13.50%,9
CVS,CVS Health Corporation,STOCK,57.30,0.84x,6,2.39x,89,106.06x,65,3.39%,74,3.66%,0,11.57x,96,9.58x,97,0.07%,33,89.62%,98,56.37x,0,0.23x,74,1.32x,92,0.44%,2,Strong Buy (1.44),89,2.29%,2,8.40%,73,1.44%,96
CVX,Chevron Corporation,STOCK,42.90,1.16x,23,1.40x,95,24.32x,91,3.85%,83,20.38%,53,11.03x,11,15.75x,3,7.03%,73,68.19%,86,27.87x,0,1.14x,76,1.96x,82,6.66%,27,Buy (1.84),79,7.23%,11,-8.20%,2,1.01%,97
D,"Dominion Energy, Inc.",STOCK,62.74,0.77x,4,5.57x,32,150.09x,82,4.27%,89,49.14%,100,13.58x,70,16.40x,88,0.12%,33,83.92%,97,18.01x,92,2.76x,0,1.96x,82,18.16%,73,Hold (2.81),35,9.74%,25,20.40%,99,2.88%,93
DAL,"Delta Air Lines, Inc.",STOCK,75.47,0.42x,1,1.63x,94,105.02x,66,1.10%,16,11.93%,8,7.83x,98,8.55x,98,0.52%,35,86.04%,97,9.96x,98,0.21x,72,2.19x,77,6.87%,27,Strong Buy (1.31),91,24.99%,99,12.90%,91,3.93%,89
DASH,"DoorDash, Inc.",STOCK,48.38,1.41x,51,2.87x,85,32.75x,96,N/A,N/A,8.88%,4,60.28x,0,23.04x,65,0.68%,36,98.50%,99,82.10x,0,1.81x,18,7.53x,0,6.82%,27,Buy (1.62),85,10.44%,31,37.70%,100,2.97%,92
DD,"DuPont de Nemours, Inc.",STOCK,48.15,2.42x,99,2.77x,86,24.48x,91,1.71%,13,22.08%,48,14.56x,7,18.35x,83,0.18%,33,79.44%,95,222.33x,0,1.72x,24,1.37x,92,-11.37%,0,Strong Buy (1.50),88,0.52%,1,N/A,N/A,2.84%,93
DDOG,"Datadog, Inc.",STOCK,53.39,3.38x,100,2.78x,86,34.27x,97,N/A,N/A,0.22%,0,5787.88x,0,50.19x,5,0.73%,36,90.94%,98,427.94x,0,0.97x,90,12.53x,93,3.14%,13,Strong Buy (1.41),90,3.34%,3,29.20%,100,4.47%,86
DE,Deere & Company,STOCK,46.31,2.25x,99,3.45x,76,376.02x,0,1.14%,17,18.38%,38,22.47x,12,24.67x,57,0.17%,33,82.82%,96,32.05x,52,1.70x,25,5.83x,2,10.30%,41,Buy (2.12),68,19.57%,94,-11.10%,1,1.70%,96
DECK,Deckers Outdoor Corporation,STOCK,75.72,2.86x,100,1.83x,93,13.14x,83,N/A,N/A,25.30%,83,9.86x,95,14.55x,92,0.64%,36,99.25%,99,15.17x,95,1.48x,43,5.82x,2,19.35%,77,Buy (2.40),55,39.69%,100,7.10%,65,3.64%,90
DELL,Dell Technologies Inc.,STOCK,76.52,0.91x,8,2.62x,87,N/A,N/A,1.17%,17,10.09%,2,13.98x,96,14.65x,98,7.47%,75,82.86%,96,24.88x,95,0.90x,95,-57.01x,100,5.23%,21,Buy (1.89),77,N/A,N/A,39.50%,100,8.31%,52
DG,Dollar General Corporation,STOCK,60.85,1.14x,21,2.42x,89,184.66x,8,2.01%,36,7.74%,4,12.22x,79,14.71x,91,0.28%,34,99.36%,99,17.13x,84,1.40x,51,3.04x,49,3.54%,14,Buy (2.30),60,18.99%,93,5.90%,57,4.24%,87
DGX,Quest Diagnostics Incorporated,STOCK,66.81,1.18x,25,4.12x,64,82.74x,86,1.75%,29,19.74%,71,12.65x,93,16.87x,87,0.42%,35,99.18%,99,21.75x,72,1.51x,40,2.96x,51,9.08%,36,Buy (2.11),68,14.54%,69,9.20%,77,3.22%,92
DHI,"D.R. Horton, Inc.",STOCK,62.72,6.37x,100,5.55x,33,27.45x,93,1.13%,17,12.80%,11,11.83x,90,13.11x,94,11.57%,94,90.01%,98,14.97x,95,1.35x,56,1.92x,83,9.51%,38,Hold (2.60),45,13.08%,56,-2.30%,10,7.08%,66
DHR,Danaher Corporation,STOCK,63.48,1.87x,91,2.14x,91,37.17x,98,0.89%,13,32.02%,100,17.87x,37,19.86x,78,10.78%,91,84.30%,97,35.00x,5,1.13x,77,2.41x,70,14.89%,60,Strong Buy (1.29),91,7.08%,11,3.70%,41,1.29%,96
DIS,The Walt Disney Company,STOCK,63.50,0.67x,3,2.06x,92,40.91x,99,1.47%,23,20.17%,51,11.80x,90,13.96x,93,0.08%,33,77.21%,94,15.07x,95,2.92x,0,1.68x,88,12.80%,51,Buy (1.55),87,12.02%,45,5.20%,51,1.21%,96
DLR,"Digital Realty Trust, Inc.",STOCK,47.45,1.43x,53,0.01x,99,75.66x,91,2.49%,50,45.35%,100,30.75x,1,63.11x,0,0.02%,33,101.18%,99,52.08x,0,18.67x,0,3.03x,5,21.82%,87,Buy (1.75),81,5.69%,6,16.70%,97,0.00%,98
DLTR,"Dollar Tree, Inc.",STOCK,65.32,1.07x,16,3.90x,68,187.90x,7,N/A,N/A,11.91%,26,11.11x,89,13.25x,94,0.20%,33,109.74%,100,16.50x,89,0.96x,91,5.18x,4,6.61%,26,Hold (2.74),38,31.69%,100,9.00%,76,7.89%,57
DOC,"Healthpeak Properties, Inc.",STOCK,39.32,1.22x,29,3.68x,72,122.18x,48,7.53%,100,55.12%,100,13.97x,80,120.00x,0,0.29%,34,97.98%,99,162.00x,0,4.32x,2,1.50x,81,2.53%,10,Buy (2.15),67,1.16%,1,3.10%,36,5.97%,76
DOV,Dover Corporation,STOCK,65.73,1.86x,91,2.99x,83,43.93x,99,0.92%,13,22.53%,68,17.21x,53,19.52x,80,1.26%,39,92.39%,98,28.24x,67,1.89x,14,4.07x,17,13.30%,53,Buy (1.86),78,15.00%,73,10.10%,82,2.60%,94
DPZ,"Domino's Pizza, Inc.",STOCK,66.55,1.65x,77,3.36x,78,N/A,N/A,2.16%,40,20.43%,53,17.14x,54,15.78x,90,10.42%,90,92.14%,98,19.30x,90,1.65x,29,-2.89x,100,12.18%,49,Buy (2.00),73,N/A,N/A,6.40%,60,10.82%,26
DRI,"Darden Restaurants, Inc.",STOCK,57.42,0.39x,1,3.00x,83,387.68x,0,3.02%,65,15.74%,22,15.27x,71,17.48x,86,0.30%,34,100.37%,99,20.92x,88,1.76x,21,10.83x,0,8.66%,35,Buy (1.87),77,51.54%,100,5.90%,57,6.03%,75
DTE,DTE Energy Company,STOCK,57.65,0.80x,5,4.97x,45,213.60x,36,3.08%,66,22.87%,11,15.63x,41,17.54x,86,0.40%,34,79.14%,95,20.84x,88,2.04x,8,2.47x,68,9.25%,37,Buy (1.89),77,12.18%,47,28.90%,100,2.88%,93
DUK,Duke Energy Corporation,STOCK,61.93,0.55x,2,3.96x,67,171.84x,67,3.35%,73,51.21%,100,11.78x,87,17.75x,85,0.12%,33,70.33%,88,20.17x,89,2.69x,0,1.94x,83,15.63%,63,Buy (2.22),64,9.72%,25,8.00%,71,2.25%,94
DVA,DaVita Inc.,STOCK,67.25,1.29x,37,7.63x,7,1111.35x,0,N/A,N/A,20.17%,74,8.73x,99,9.15x,97,51.20%,0,53.20%,58,15.78x,94,0.56x,97,-15.80x,100,5.47%,22,N/A,N/A,64.85%,100,9.90%,81,17.10%,2
DVN,Devon Energy Corporation,STOCK,61.89,0.98x,11,1.76x,94,55.95x,100,1.99%,35,46.61%,100,4.97x,95,8.87x,83,0.83%,37,82.71%,96,11.56x,77,2.83x,0,1.93x,83,16.47%,66,Strong Buy (1.46),88,17.74%,89,-12.10%,1,5.60%,79
DXCM,"DexCom, Inc.",STOCK,68.23,1.88x,91,3.77x,71,50.85x,100,N/A,N/A,24.96%,95,19.79x,16,20.51x,76,0.28%,34,100.74%,99,29.38x,22,1.34x,57,8.61x,0,17.94%,72,Strong Buy (1.41),90,34.50%,100,13.10%,92,4.53%,86
EA,Electronic Arts Inc.,STOCK,34.39,0.93x,9,5.15x,41,36.44x,97,0.38%,8,18.41%,39,37.18x,0,21.90x,70,0.21%,33,95.23%,99,75.82x,0,1.78x,20,8.23x,0,9.31%,37,Hold (2.70),40,10.03%,27,1.00%,24,4.81%,84
EBAY,eBay Inc.,STOCK,65.45,1.10x,18,2.71x,86,155.62x,21,1.24%,18,24.45%,79,18.13x,44,15.15x,91,0.30%,34,94.79%,99,23.54x,82,1.55x,37,9.76x,0,18.30%,73,Hold (2.65),43,40.85%,100,15.00%,95,3.40%,91
ECL,Ecolab Inc.,STOCK,44.98,1.08x,17,2.16x,91,91.77x,78,1.03%,5,24.43%,61,21.36x,0,27.64x,41,0.15%,33,93.65%,99,36.75x,0,2.49x,1,7.73x,0,12.91%,52,Buy (1.81),79,22.52%,98,4.80%,49,1.34%,96
ED,"Consolidated Edison, Inc.",STOCK,59.64,1.02x,13,4.38x,58,117.32x,98,3.19%,69,35.59%,84,10.97x,91,16.76x,87,0.18%,33,72.24%,90,19.30x,90,2.59x,1,1.62x,88,11.96%,48,Hold (3.22),20,8.77%,19,8.90%,76,2.94%,93
EFX,Equifax Inc.,STOCK,64.61,0.61x,2,3.20x,80,113.35x,57,1.21%,18,30.71%,96,13.26x,84,16.56x,88,0.64%,36,100.01%,99,30.03x,60,1.68x,26,4.48x,10,11.12%,44,Buy (1.75),81,14.37%,68,14.30%,94,5.32%,81
EG,"Everest Group, Ltd.",STOCK,63.46,1.12x,21,2.74x,86,24.48x,91,2.33%,45,0.00%,0,N/A,N/A,5.64x,99,0.69%,36,90.41%,98,9.09x,97,0.97x,90,0.90x,96,9.07%,36,Buy (2.44),53,10.85%,62,-2.90%,9,2.69%,93
EIX,Edison International,STOCK,73.41,0.73x,4,3.43x,77,215.74x,35,5.12%,96,42.69%,98,8.48x,98,10.52x,96,0.27%,34,92.88%,99,5.94x,99,3.25x,0,1.54x,89,23.08%,92,Hold (2.65),43,24.10%,99,30.80%,100,3.72%,90
EL,The Estée Lauder Companies Inc.,STOCK,44.35,1.36x,45,1.46x,95,232.94x,1,1.81%,31,15.03%,62,15.54x,24,25.63x,52,1.55%,40,95.48%,99,N/A,N/A,1.42x,49,6.94x,0,-1.21%,0,Buy (2.42),54,-4.34%,0,5.60%,54,3.75%,90
ELV,"Elevance Health, Inc.",STOCK,65.04,1.48x,60,2.83x,85,72.30x,93,1.93%,34,4.26%,1,8.46x,99,12.20x,95,0.19%,33,94.83%,99,15.08x,95,1.32x,59,1.79x,86,2.62%,10,Buy (1.95),74,12.09%,46,2.60%,33,2.28%,94
EME,"EMCOR Group, Inc.",STOCK,61.65,1.22x,29,2.61x,87,12.91x,83,0.15%,6,10.39%,6,21.98x,15,28.23x,38,0.73%,36,98.74%,99,31.44x,54,1.08x,82,10.73x,0,7.49%,30,Buy (1.67),84,38.49%,100,19.70%,99,2.07%,95
EMR,Emerson Electric Co.,STOCK,52.93,0.84x,6,4.16x,63,69.28x,95,1.57%,25,32.32%,97,15.62x,68,19.79x,79,0.22%,34,84.22%,97,34.76x,41,1.81x,18,3.92x,20,12.72%,51,Buy (1.97),74,9.65%,25,4.10%,43,2.23%,94
EOG,"EOG Resources, Inc.",STOCK,67.17,1.63x,76,3.31x,79,30.62x,95,3.06%,66,51.75%,100,6.59x,83,9.37x,77,0.28%,34,94.90%,99,14.59x,43,1.32x,59,2.40x,71,21.98%,88,Buy (2.22),63,16.83%,85,0.00%,19,3.32%,91
EPAM,"EPAM Systems, Inc.",STOCK,72.97,2.59x,100,5.48x,34,3.91x,74,N/A,N/A,12.96%,3,7.28x,99,8.36x,99,3.17%,50,113.77%,100,17.31x,99,0.71x,100,1.72x,98,6.92%,28,Buy (1.79),80,10.33%,30,12.80%,91,18.35%,1
EQIX,"Equinix, Inc.",STOCK,39.93,1.32x,40,3.28x,79,160.29x,18,1.76%,29,43.97%,100,31.46x,0,61.86x,0,0.27%,34,98.21%,99,79.38x,0,5.00x,0,7.56x,0,14.58%,58,Buy (1.65),84,9.72%,25,8.10%,71,2.10%,95
EQR,Equity Residential,STOCK,43.82,0.11x,0,4.21x,62,74.32x,92,4.51%,91,60.83%,100,17.18x,53,41.74x,4,0.59%,35,97.11%,99,21.20x,23,16.10x,0,2.14x,40,36.20%,100,Buy (2.40),55,10.02%,27,2.00%,29,3.09%,92
EQT,EQT Corporation,STOCK,67.62,0.66x,3,2.29x,90,20.82x,89,1.13%,17,81.86%,100,6.00x,89,12.39x,26,0.82%,37,94.36%,99,11.13x,80,2.97x,0,1.54x,90,35.07%,100,Buy (1.60),85,13.40%,59,49.90%,100,3.43%,91
ERIE,Erie Indemnity Company,STOCK,39.85,1.29x,37,9.53x,1,2.11x,73,2.53%,51,20.22%,52,14.34x,78,16.50x,88,45.46%,1,46.00%,40,21.19x,0,2.67x,0,5.14x,0,13.97%,56,N/A,N/A,25.85%,100,2.30%,31,9.51%,39
ES,Eversource Energy,STOCK,64.70,0.65x,2,3.04x,82,184.95x,57,4.58%,92,34.67%,80,11.94x,86,13.73x,93,0.18%,33,87.34%,98,15.07x,95,2.46x,1,1.59x,89,12.49%,50,Hold (2.56),47,10.78%,34,13.40%,92,2.89%,93
ESS,"Essex Property Trust, Inc.",STOCK,39.82,0.15x,0,3.64x,73,119.43x,51,4.01%,86,64.86%,100,18.74x,38,43.06x,3,0.72%,36,102.82%,99,24.70x,6,7.02x,0,2.99x,5,34.60%,100,Hold (2.77),37,12.23%,47,3.20%,37,4.32%,87
ETN,Eaton Corporation plc,STOCK,54.29,1.32x,40,3.43x,77,54.88x,100,1.06%,15,22.99%,71,27.19x,2,26.90x,45,0.07%,33,85.27%,97,39.84x,23,3.14x,0,8.32x,0,14.89%,60,Buy (1.73),82,21.53%,97,13.10%,92,2.05%,95
ETR,Entergy Corporation,STOCK,55.31,0.74x,4,4.71x,51,181.79x,59,2.26%,43,43.09%,98,14.54x,57,22.93x,66,0.25%,34,96.20%,99,29.01x,64,2.37x,2,3.03x,49,13.58%,54,Buy (1.76),81,10.77%,34,7.90%,70,3.42%,91
EVRG,"Evergy, Inc.",STOCK,57.53,0.49x,1,7.54x,7,149.92x,82,3.41%,74,45.98%,99,12.48x,82,17.93x,85,0.18%,33,93.98%,99,22.29x,85,2.26x,3,1.84x,85,14.35%,57,Buy (2.00),73,8.57%,18,6.60%,62,6.64%,70
