Symbol,Name,Asset Type,Total Score (%),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Return on Equity (Value),Return on Equity (Strength %),Profit Margin (Value),Profit Margin (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Current Ratio (Value),Current Ratio (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Short % of Float (Value),Short % of Float (Strength %),Short Ratio (Value),Short Ratio (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %)
STX,Seagate Technology Holdings plc,STOCK,48.89,66.24x,2,28.09x,80,0.89x,95,278.64x,0,N/A,N/A,19.59%,78,1046.62x,0,1.12x,20,21.50%,99,0.26%,34,87.56%,98,0.50%,9,Buy (1.54),87,4.32%,87,2.16x,91,46.14x,4,28.36%,55
TMUS,"T-Mobile US, Inc.",STOCK,66.02,19.53x,90,13.56x,93,0.73x,100,3.55x,31,18.18%,90,12.45%,50,208.85x,3,1.00x,12,11.30%,86,55.81%,0,42.37%,32,2.15%,40,Buy (1.69),83,4.33%,87,3.15x,81,9.97x,95,37.17%,99
TRI,Thomson Reuters Corporation,STOCK,48.15,27.29x,71,17.84x,85,6.25x,0,3.38x,36,12.40%,49,20.09%,80,20.04x,88,0.64x,2,5.20%,51,70.59%,0,27.46%,10,2.92%,62,Buy (1.78),80,N/A,N/A,7.27x,9,19.98x,27,28.00%,91
TSLA,"Tesla, Inc.",STOCK,37.54,345.23x,0,149.65x,0,5.14x,0,17.19x,0,4.90%,5,3.95%,16,18.74x,87,2.04x,96,15.80%,96,11.12%,93,44.64%,37,N/A,N/A,Buy (2.34),58,2.13%,95,1.07x,97,124.85x,0,11.33%,7
TTWO,"Take-Two Interactive Software, Inc.",STOCK,40.59,N/A,N/A,26.75x,46,2.24x,4,11.16x,0,-86.22%,0,-60.45%,0,100.45x,70,1.14x,22,24.90%,100,1.36%,39,95.22%,99,N/A,N/A,Strong Buy (1.25),92,3.68%,90,3.30x,79,48.82x,0,12.55%,10
TXN,Texas Instruments Incorporated,STOCK,68.20,47.38x,31,30.33x,71,1.57x,35,15.03x,0,32.35%,100,29.11%,100,83.74x,85,4.46x,100,18.60%,98,0.29%,34,90.89%,98,2.05%,37,Buy (2.30),60,2.12%,95,2.98x,83,30.14x,64,46.99%,99
VRSK,"Verisk Analytics, Inc.",STOCK,55.71,27.41x,70,20.68x,75,1.74x,22,79.53x,0,437.95%,100,29.56%,100,1581.80x,0,1.20x,27,N/A,N/A,0.29%,34,102.97%,99,1.13%,17,Buy (2.26),61,6.07%,75,3.66x,73,18.33x,42,48.33%,100
VRTX,Vertex Pharmaceuticals Incorporated,STOCK,63.42,28.10x,29,19.77x,79,2.10x,7,5.86x,1,22.54%,98,32.94%,100,10.91x,81,2.90x,100,9.50%,79,0.21%,33,97.21%,99,N/A,N/A,Buy (1.62),85,1.92%,95,3.20x,80,21.52x,7,40.55%,100
WBD,"Warner Bros. Discovery, Inc.",STOCK,45.86,93.34x,0,-1623.88x,100,216.92x,0,1.87x,84,2.08%,2,1.95%,8,98.91x,72,1.06x,16,-5.70%,4,4.21%,56,72.77%,90,N/A,N/A,Hold (3.14),22,2.68%,93,2.31x,90,13.66x,82,19.74%,48
WDAY,"Workday, Inc.",STOCK,60.87,46.24x,35,9.63x,99,0.46x,92,3.98x,19,8.23%,16,7.26%,29,48.96x,100,1.32x,41,14.50%,94,2.23%,44,97.06%,99,N/A,N/A,Buy (1.93),75,9.23%,42,3.90x,68,21.27x,93,14.35%,4
WDC,Western Digital Corporation,STOCK,68.07,38.19x,67,28.28x,79,0.81x,98,19.32x,0,41.13%,100,35.64%,100,65.44x,97,1.46x,57,25.20%,100,0.54%,35,102.95%,99,0.12%,6,Buy (1.52),87,8.92%,45,3.07x,82,41.10x,12,31.27%,71
WMT,Walmart Inc.,STOCK,32.60,47.59x,0,39.58x,5,4.87x,0,10.39x,0,21.85%,98,3.07%,12,64.44x,97,0.79x,5,5.60%,54,44.94%,1,38.77%,25,0.76%,11,Strong Buy (1.46),88,1.56%,96,3.66x,73,24.98x,0,6.17%,2
XEL,Xcel Energy Inc.,STOCK,61.42,23.14x,83,17.48x,86,2.23x,4,2.09x,79,9.36%,23,13.76%,55,152.83x,80,0.71x,3,14.10%,94,0.20%,33,92.64%,99,2.99%,64,Strong Buy (1.42),89,5.08%,82,6.40x,18,14.24x,61,40.77%,96
ZS,"Zscaler, Inc.",STOCK,52.87,N/A,N/A,29.54x,75,1.46x,45,9.91x,0,-3.56%,0,-2.25%,0,85.00x,84,1.90x,92,25.90%,100,35.19%,13,58.27%,69,N/A,N/A,Buy (1.52),87,10.08%,33,3.53x,75,-296.11x,100,-2.27%,0
