Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
EW,Edwards Lifesciences Corporation,STOCK,54.74,N/A,N/A,2.05x,92,6.82x,77,N/A,N/A,30.17%,99,23.80x,2,24.97x,55,0.17%,33,92.83%,99,45.39x,0,2.05x,8,4.72x,7,17.39%,70,Buy (1.70),83,N/A,N/A,16.70%,97,1.84%,95
EXC,Exelon Corporation,STOCK,51.26,0.92x,9,5.70x,30,174.49x,65,3.61%,79,33.56%,74,11.94x,86,15.29x,90,0.07%,33,93.00%,99,17.03x,93,2.81x,0,1.65x,88,11.41%,46,Hold (2.82),35,9.94%,27,-1.10%,14,4.77%,84
EXE,Expand Energy Corporation,STOCK,76.73,1.11x,19,1.49x,95,25.88x,92,3.19%,69,57.30%,100,3.61x,98,10.26x,63,0.29%,34,94.77%,99,7.45x,96,23.60x,0,1.23x,93,24.91%,100,Buy (1.52),87,17.57%,88,41.00%,100,3.01%,92
EXPD,"Expeditors International of Washington, Inc.",STOCK,47.59,1.81x,88,4.19x,62,24.20x,91,1.04%,15,10.02%,5,17.05x,54,22.77x,66,0.60%,35,101.81%,99,24.74x,79,3.81x,0,8.37x,0,7.32%,29,Hold (3.31),17,35.43%,100,-3.30%,8,3.75%,90
EXPE,"Expedia Group, Inc.",STOCK,66.21,0.73x,4,3.82x,70,254.69x,0,0.67%,10,15.62%,22,14.29x,78,10.88x,96,0.59%,35,104.61%,100,25.65x,76,0.88x,96,24.03x,0,8.78%,35,Buy (2.19),65,48.67%,100,11.40%,87,6.84%,68
EXR,Extra Space Storage Inc.,STOCK,41.64,0.11x,0,4.28x,60,98.08x,73,4.56%,92,65.45%,100,19.62x,30,29.71x,31,0.94%,37,103.39%,99,31.99x,0,6.19x,0,2.25x,32,27.14%,100,Buy (2.38),56,6.83%,10,3.80%,41,3.47%,91
F,Ford Motor Company,STOCK,40.34,1.09x,18,0.00x,99,419.18x,0,4.97%,95,4.00%,1,24.05x,7,6.43x,98,0.28%,34,56.64%,66,N/A,N/A,8.48x,0,1.32x,92,-3.22%,0,Hold (2.71),40,-14.81%,0,6.40%,60,0.00%,98
FANG,"Diamondback Energy, Inc.",STOCK,40.39,0.42x,1,2.45x,89,33.78x,96,2.04%,37,71.40%,100,7.74x,65,12.09x,31,30.65%,29,65.42%,82,36.24x,0,54.98x,0,1.60x,89,11.64%,47,Buy (1.52),87,3.74%,3,-9.40%,1,4.28%,87
FAST,Fastenal Company,STOCK,51.62,4.39x,100,2.84x,85,11.17x,81,2.05%,37,22.37%,67,27.37x,2,32.90x,19,0.17%,33,88.12%,98,39.74x,23,3.24x,0,12.92x,0,15.39%,62,Hold (2.82),35,33.84%,100,12.40%,90,2.41%,94
FCX,Freeport-McMoRan Inc.,STOCK,60.14,2.39x,99,1.66x,94,33.01x,96,1.06%,5,35.14%,95,10.54x,49,15.32x,90,0.70%,36,89.00%,98,29.92x,1,3.89x,0,4.06x,17,10.34%,41,Buy (1.68),83,15.63%,77,8.80%,75,1.97%,95
FDS,FactSet Research Systems Inc.,STOCK,68.32,1.43x,54,4.31x,60,72.97x,93,1.93%,34,37.91%,99,10.50x,94,11.72x,95,0.46%,35,105.04%,100,14.64x,38,1.24x,67,3.92x,2,24.48%,98,N/A,N/A,28.08%,100,7.10%,65,15.03%,5
FDX,FedEx Corporation,STOCK,68.29,1.47x,59,1.62x,94,140.99x,32,1.47%,23,12.57%,10,11.05x,93,17.61x,85,7.45%,75,80.13%,95,21.01x,87,1.43x,48,3.16x,44,4.88%,20,Buy (1.89),77,15.87%,79,8.30%,73,1.38%,96
FE,FirstEnergy Corp.,STOCK,61.88,0.52x,1,5.86x,27,198.92x,47,3.91%,84,33.71%,75,10.95x,92,15.93x,89,0.14%,33,95.08%,99,25.50x,76,1.45x,46,2.14x,78,6.94%,28,Buy (2.24),63,9.46%,23,11.60%,87,5.57%,79
FER,Ferrovial SE,STOCK,28.75,1.13x,21,2.65x,87,140.01x,32,1.52%,24,15.14%,19,39.78x,0,46.88x,1,36.22%,11,37.34%,22,48.58x,6,5.56x,0,7.18x,0,9.22%,37,N/A,N/A,14.32%,67,5.70%,55,0.67%,97
FFIV,"F5, Inc.",STOCK,75.32,1.55x,68,2.26x,91,7.57x,78,N/A,N/A,28.10%,54,18.38x,91,18.49x,96,0.52%,35,109.47%,100,26.54x,94,1.54x,38,5.20x,97,22.45%,90,Hold (2.62),44,20.84%,96,7.30%,66,4.08%,88
FICO,Fair Isaac Corporation,STOCK,87.38,2.22x,98,4.02x,66,N/A,N/A,N/A,N/A,51.56%,100,23.60x,82,19.21x,96,2.80%,47,93.36%,99,32.79x,84,0.94x,92,-13.61x,100,33.67%,100,Buy (1.86),78,N/A,N/A,38.70%,100,7.41%,62
FIS,"Fidelity National Information Services, Inc.",STOCK,60.81,0.59x,2,2.06x,92,95.89x,75,3.52%,77,29.40%,61,11.68x,97,6.76x,100,0.13%,33,98.86%,99,63.75x,3,0.26x,76,1.72x,98,3.58%,14,Buy (1.96),74,2.60%,2,8.20%,72,3.21%,92
FISV,"Fiserv, Inc.",STOCK,43.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hold (2.64),43,N/A,N/A,N/A,N/A,N/A,N/A
FITB,Fifth Third Bancorp,STOCK,57.84,N/A,N/A,4.36x,59,N/A,N/A,3.17%,69,0.00%,0,N/A,N/A,10.29x,96,0.35%,34,70.75%,88,16.98x,10,1.93x,12,1.67x,80,24.13%,97,Buy (1.71),82,7.97%,23,33.00%,100,5.44%,80
FIX,"Comfort Systems USA, Inc.",STOCK,45.54,1.24x,31,1.90x,93,45.49x,100,0.14%,6,17.13%,30,39.27x,0,35.64x,12,1.24%,39,97.05%,99,53.76x,3,1.44x,47,101.72x,0,12.07%,48,Strong Buy (1.29),92,53.29%,100,1.00%,24,2.50%,94
FOX,Fox Corporation,STOCK,67.51,2.78x,100,5.68x,30,67.39x,96,0.98%,14,21.31%,60,8.46x,97,11.45x,96,38.87%,6,66.52%,83,13.65x,96,N/A,N/A,2.22x,76,11.41%,46,N/A,N/A,16.82%,85,2.00%,29,8.02%,55
FOXA,Fox Corporation,STOCK,58.65,2.78x,100,8.42x,3,67.39x,96,0.88%,13,21.31%,60,9.23x,96,12.28x,95,1.30%,39,122.70%,100,15.19x,95,14.58x,0,2.47x,69,11.41%,46,Buy (2.21),64,16.82%,85,2.00%,29,18.37%,1
FRT,Federal Realty Investment Trust,STOCK,48.31,0.37x,1,0.02x,99,143.64x,30,4.05%,86,63.59%,100,18.29x,42,36.24x,10,1.12%,38,100.79%,99,24.64x,6,3.59x,11,3.22x,3,32.09%,100,Buy (2.11),68,12.23%,47,7.50%,68,0.02%,98
FSLR,"First Solar, Inc.",STOCK,90.19,2.56x,100,3.60x,74,4.31x,75,N/A,N/A,41.94%,97,9.13x,98,8.72x,99,5.43%,63,99.30%,99,13.68x,99,0.52x,96,2.38x,98,30.73%,100,Buy (2.17),66,18.44%,91,23.60%,100,7.96%,56
FTNT,"Fortinet, Inc.",STOCK,70.47,1.17x,25,3.03x,83,85.80x,84,N/A,N/A,32.74%,77,27.55x,70,26.09x,85,17.40%,97,72.20%,90,35.66x,76,2.05x,8,51.79x,12,27.26%,100,Hold (2.72),39,135.72%,100,14.80%,95,3.17%,92
FTV,Fortive Corporation,STOCK,65.16,0.71x,3,4.58x,54,58.81x,99,0.44%,8,28.10%,54,17.84x,92,18.50x,96,0.40%,34,109.55%,100,34.52x,79,0.98x,90,2.87x,98,12.84%,51,Hold (2.88),32,6.81%,10,7.70%,69,5.81%,77
GD,General Dynamics Corporation,STOCK,63.14,1.38x,48,1.96x,93,30.73x,95,1.76%,29,12.09%,9,15.04x,72,19.18x,81,0.53%,35,87.29%,97,21.74x,86,2.49x,1,3.64x,28,8.07%,32,Buy (2.17),66,17.97%,90,10.30%,83,1.11%,97
GDDY,GoDaddy Inc.,STOCK,72.52,0.67x,3,2.71x,86,1621.62x,0,N/A,N/A,26.11%,42,10.81x,97,8.20x,99,0.96%,37,104.80%,100,13.75x,99,0.68x,100,54.36x,9,17.32%,69,Buy (2.12),68,398.21%,100,6.10%,58,5.55%,79
GE,GE Aerospace,STOCK,53.32,1.01x,13,2.27x,90,116.53x,54,0.66%,10,22.84%,70,28.08x,2,32.98x,19,0.31%,34,81.46%,96,35.55x,37,6.98x,0,16.09x,0,17.86%,71,Strong Buy (1.48),88,45.43%,100,24.70%,100,1.21%,96
GEHC,GE HealthCare Technologies Inc.,STOCK,70.71,1.22x,29,3.37x,78,97.06x,74,0.23%,6,16.79%,43,10.31x,98,11.34x,96,0.35%,34,93.48%,99,14.64x,95,1.45x,46,2.68x,62,9.10%,36,Buy (1.95),75,19.46%,94,7.40%,67,3.01%,92
GEN,Gen Digital Inc.,STOCK,83.04,0.47x,1,3.09x,82,363.38x,0,2.58%,52,42.59%,97,9.73x,98,6.77x,100,9.48%,86,90.25%,98,19.97x,98,0.47x,93,5.03x,97,12.76%,51,Buy (2.00),73,26.90%,100,25.80%,100,5.35%,81
GEV,GE Vernova Inc.,STOCK,53.22,0.89x,8,3.19x,80,24.93x,92,0.14%,6,8.67%,3,82.21x,0,43.88x,2,0.11%,33,78.84%,94,31.05x,56,1.87x,15,20.52x,0,23.81%,95,Buy (1.54),87,75.71%,100,16.30%,97,2.94%,93
GILD,"Gilead Sciences, Inc.",STOCK,77.20,1.55x,68,3.88x,69,112.92x,58,2.49%,50,49.51%,100,12.30x,94,13.69x,93,0.12%,33,92.42%,98,19.42x,84,0.37x,86,7.20x,0,28.90%,100,Buy (1.70),83,40.66%,100,4.70%,48,1.83%,95
GIS,"General Mills, Inc.",STOCK,56.01,0.56x,2,3.73x,72,217.63x,2,7.03%,100,18.06%,88,6.43x,100,10.56x,96,0.30%,34,88.77%,98,8.49x,100,11.74x,0,3.35x,37,12.05%,48,Hold (3.05),25,23.59%,99,2.20%,30,9.72%,37
GL,Globe Life Inc.,STOCK,76.40,0.66x,3,0.02x,99,45.67x,100,0.86%,13,27.04%,89,8.67x,97,9.19x,97,0.67%,36,85.80%,97,10.57x,93,1.30x,61,1.95x,67,19.38%,78,Buy (1.91),76,20.46%,100,5.40%,53,0.02%,98
GLW,Corning Incorporated,STOCK,58.65,1.61x,74,1.32x,96,72.66x,93,0.71%,11,24.26%,32,38.21x,28,39.31x,30,7.73%,77,71.00%,89,76.45x,0,1.83x,17,11.49x,94,11.09%,44,Buy (1.81),79,16.74%,84,20.00%,99,2.07%,95
GM,General Motors Company,STOCK,55.55,1.15x,23,2.75x,86,199.05x,5,0.95%,14,9.91%,5,9.55x,96,5.40x,99,0.22%,34,88.12%,98,27.65x,69,0.35x,84,1.10x,94,1.38%,6,Buy (1.89),77,4.01%,3,-0.90%,15,2.15%,95
GNRC,Generac Holdings Inc.,STOCK,50.24,2.03x,96,3.32x,79,55.59x,100,N/A,N/A,12.19%,9,31.20x,0,24.84x,56,1.73%,41,97.33%,99,81.30x,0,1.25x,66,5.78x,2,4.37%,17,Buy (1.95),75,7.39%,12,12.40%,90,6.33%,73
GOOG,Alphabet Inc.,STOCK,64.19,2.00x,95,2.10x,92,16.13x,85,0.24%,7,37.28%,99,27.58x,2,28.33x,38,6.64%,71,61.00%,75,29.23x,63,2.61x,1,11.16x,0,32.81%,100,Strong Buy (1.37),90,35.71%,100,18.00%,98,N/A,N/A
GOOGL,Alphabet Inc.,STOCK,64.60,2.00x,95,2.72x,86,16.13x,85,0.24%,7,37.28%,99,27.79x,2,28.51x,37,0.56%,35,80.80%,95,29.42x,63,2.63x,1,11.23x,0,32.81%,100,Strong Buy (1.36),90,35.71%,100,18.00%,98,1.34%,96
GPC,Genuine Parts Company,STOCK,49.17,1.09x,18,2.97x,83,149.45x,25,4.05%,86,8.24%,3,10.16x,95,12.54x,94,0.42%,35,91.46%,98,238.61x,0,1.32x,59,3.23x,42,0.24%,1,Buy (2.22),63,1.34%,1,6.80%,63,5.66%,78
GPN,Global Payments Inc.,STOCK,67.69,1.69x,81,3.87x,69,93.32x,77,1.39%,21,44.63%,100,10.18x,95,4.47x,99,0.89%,37,100.78%,99,16.33x,94,0.21x,72,0.75x,96,18.17%,73,Buy (2.36),57,4.82%,5,-0.00%,19,5.44%,80
GRMN,Garmin Ltd.,STOCK,74.59,4.36x,100,4.16x,63,1.81x,72,1.73%,29,29.03%,59,20.41x,88,23.93x,90,14.89%,100,53.85%,59,27.03x,93,3.26x,0,5.20x,97,23.26%,93,Hold (2.75),38,19.90%,95,14.20%,94,1.89%,95
GS,"The Goldman Sachs Group, Inc.",STOCK,63.27,2.60x,100,3.16x,81,608.94x,0,1.95%,34,0.00%,0,N/A,N/A,14.13x,92,0.52%,35,75.87%,93,16.86x,11,1.43x,48,2.57x,32,29.36%,100,Hold (2.54),48,14.59%,94,14.50%,94,2.30%,94
GWW,"W.W. Grainger, Inc.",STOCK,52.51,2.83x,100,4.96x,45,69.11x,95,0.81%,12,16.51%,26,19.27x,33,23.64x,62,6.25%,68,76.42%,93,32.43x,50,1.98x,10,14.58x,0,9.51%,38,Hold (2.79),36,46.10%,100,4.50%,46,2.97%,92
HAL,Halliburton Company,STOCK,49.08,2.08x,97,1.62x,94,74.65x,92,1.63%,26,18.60%,40,9.93x,23,14.60x,7,0.48%,35,84.18%,97,23.02x,1,1.11x,79,3.23x,41,6.95%,28,Buy (1.89),77,14.63%,70,-0.30%,17,4.53%,86
HAS,"Hasbro, Inc.",STOCK,55.65,1.38x,48,3.17x,81,600.58x,0,2.92%,62,25.53%,84,13.29x,84,15.03x,91,0.84%,37,95.08%,99,N/A,N/A,2.46x,1,24.84x,0,-6.86%,0,Buy (1.56),86,-36.35%,0,31.30%,100,4.47%,86
HBAN,Huntington Bancshares Incorporated,STOCK,68.26,N/A,N/A,2.80x,85,N/A,N/A,3.70%,80,0.00%,0,N/A,N/A,8.77x,97,0.80%,36,74.73%,92,12.79x,71,1.94x,12,1.14x,93,26.58%,100,Buy (1.58),86,8.39%,28,34.00%,100,3.45%,91
HCA,"HCA Healthcare, Inc.",STOCK,71.85,0.83x,6,4.01x,66,N/A,N/A,0.72%,11,20.38%,76,9.57x,99,13.07x,94,16.28%,99,78.95%,94,14.92x,95,1.31x,60,-16.14x,100,8.89%,36,Buy (1.96),74,N/A,N/A,4.30%,45,2.68%,93
HD,"The Home Depot, Inc.",STOCK,49.71,1.06x,16,2.95x,84,514.39x,0,2.83%,60,15.19%,20,15.48x,69,19.87x,78,0.07%,33,74.48%,92,22.78x,84,3.01x,0,25.18x,0,8.60%,34,Buy (1.89),77,145.54%,100,-3.80%,7,1.36%,96
HIG,"The Hartford Insurance Group, Inc.",STOCK,77.06,1.79x,87,0.02x,99,23.15x,90,1.75%,29,19.18%,44,6.80x,99,9.42x,97,0.36%,34,96.51%,99,9.56x,96,0.12x,63,2.02x,63,14.11%,56,Buy (2.26),62,22.74%,100,6.10%,58,0.01%,98
HII,"Huntington Ingalls Industries, Inc.",STOCK,66.35,1.13x,21,2.14x,91,58.76x,99,1.53%,24,9.05%,4,14.48x,77,17.72x,85,0.54%,35,95.95%,99,23.42x,82,1.26x,65,2.79x,58,4.85%,19,Buy (2.42),54,12.42%,49,15.70%,96,3.03%,92
HLT,Hilton Worldwide Holdings Inc.,STOCK,54.32,0.61x,2,3.60x,74,N/A,N/A,0.19%,6,59.22%,100,28.33x,1,30.54x,28,2.19%,44,102.41%,99,48.64x,6,1.53x,38,-12.32x,100,30.41%,100,Buy (2.16),66,N/A,N/A,11.00%,85,2.90%,93
HON,Honeywell International Inc.,STOCK,51.81,1.39x,48,3.04x,82,257.39x,0,2.24%,42,22.64%,69,18.89x,37,18.52x,83,0.07%,33,81.07%,95,33.89x,44,1.95x,11,9.91x,0,10.89%,44,Buy (2.04),71,24.26%,99,2.40%,32,1.75%,96
HOOD,"Robinhood Markets, Inc.",STOCK,57.82,1.11x,20,1.10x,96,140.48x,32,N/A,N/A,0.00%,0,N/A,N/A,28.82x,36,0.70%,36,73.68%,91,35.76x,0,N/A,N/A,7.12x,0,41.12%,100,Buy (1.93),76,21.46%,100,15.10%,95,4.08%,88
HPE,Hewlett Packard Enterprise Company,STOCK,65.70,1.03x,14,4.03x,66,87.22x,82,1.98%,35,13.68%,4,11.20x,97,10.51x,99,0.42%,35,94.08%,99,N/A,N/A,0.85x,97,1.53x,98,-0.33%,0,Buy (2.17),65,-0.47%,1,18.40%,98,6.31%,73
HPQ,HP Inc.,STOCK,55.90,0.76x,4,6.06x,23,N/A,N/A,5.76%,98,7.93%,1,6.02x,99,7.00x,100,0.28%,34,90.59%,98,7.89x,100,1.80x,19,-24.95x,100,4.46%,18,N/A,N/A,N/A,N/A,6.90%,64,15.15%,5
HRL,Hormel Foods Corporation,STOCK,48.26,2.66x,100,4.67x,52,4.24x,75,5.49%,97,9.98%,12,9.42x,97,13.58x,93,0.46%,35,92.71%,99,23.97x,9,1.44x,47,1.48x,90,4.03%,16,Hold (2.60),45,6.12%,8,-2.90%,9,7.74%,59
HSIC,"Henry Schein, Inc.",STOCK,54.92,1.38x,48,6.22x,21,71.74x,94,N/A,N/A,7.76%,2,13.01x,91,12.56x,94,0.82%,37,107.31%,100,22.61x,67,1.66x,28,2.64x,63,3.02%,12,Buy (2.38),56,8.70%,18,7.70%,69,6.82%,68
HST,"Host Hotels & Resorts, Inc.",STOCK,70.93,2.12x,97,2.93x,84,83.78x,85,3.79%,82,26.81%,88,11.91x,90,21.78x,71,1.49%,40,107.84%,100,19.21x,42,2.34x,70,2.22x,35,12.48%,50,Buy (1.90),76,11.49%,40,12.80%,91,5.68%,78
HSY,The Hershey Company,STOCK,55.97,1.24x,31,4.81x,49,113.18x,57,3.19%,69,18.69%,91,18.53x,3,18.48x,83,0.32%,34,88.67%,98,33.89x,0,1.06x,84,7.98x,0,9.12%,36,Hold (2.68),41,23.23%,99,10.60%,84,7.45%,62
HUBB,Hubbell Incorporated,STOCK,59.37,1.58x,71,4.71x,51,68.08x,96,1.12%,16,24.32%,78,19.95x,28,23.43x,63,0.33%,34,99.56%,99,30.23x,59,2.47x,1,7.04x,0,15.10%,60,Buy (2.13),67,25.82%,99,11.10%,86,5.50%,80
HUM,Humana Inc.,STOCK,63.16,1.77x,86,3.06x,82,76.64x,91,1.50%,24,2.45%,0,6.08x,100,15.34x,90,0.17%,33,104.50%,100,24.93x,50,1.35x,56,1.60x,89,0.82%,3,Hold (2.62),44,6.28%,8,23.50%,100,5.13%,82
HWM,Howmet Aerospace Inc.,STOCK,63.11,2.13x,97,4.32x,60,60.02x,99,0.20%,6,28.94%,93,41.25x,0,42.65x,3,0.89%,37,94.76%,99,64.56x,0,0.80x,99,17.97x,0,18.27%,73,Strong Buy (1.43),89,30.44%,100,14.60%,94,2.36%,94
IBKR,"Interactive Brokers Group, Inc.",STOCK,51.05,1.10x,19,2.14x,91,150.65x,24,0.44%,8,0.00%,0,N/A,N/A,28.21x,39,2.80%,47,90.23%,98,34.68x,0,2.15x,5,6.42x,0,16.11%,64,Buy (1.70),83,23.56%,100,16.80%,97,2.71%,93
IBM,International Business Machines Corporation,STOCK,65.51,0.80x,5,4.66x,52,211.17x,3,2.91%,62,24.10%,31,16.64x,94,17.28x,97,0.12%,33,65.33%,82,20.57x,98,2.16x,5,6.62x,97,15.61%,62,Buy (2.05),71,35.77%,100,9.50%,79,2.62%,93
ICE,"Intercontinental Exchange, Inc.",STOCK,64.14,1.01x,13,2.27x,90,70.99x,94,1.34%,20,62.65%,100,16.51x,60,17.69x,85,0.83%,37,95.03%,99,22.53x,0,2.20x,4,3.03x,14,37.67%,100,Strong Buy (1.50),88,13.85%,91,20.40%,99,1.35%,96
IDXX,"IDEXX Laboratories, Inc.",STOCK,52.13,1.23x,30,4.06x,65,60.83x,98,N/A,N/A,34.97%,100,30.55x,0,34.61x,14,0.71%,36,96.78%,99,43.28x,0,3.90x,0,28.18x,0,24.62%,98,Buy (2.13),67,66.20%,100,14.30%,94,2.97%,92
IEX,IDEX Corporation,STOCK,61.50,3.39x,100,2.25x,91,46.25x,100,1.30%,20,27.07%,89,18.06x,45,23.95x,61,0.21%,34,108.23%,100,31.75x,53,1.94x,12,3.98x,19,14.38%,58,Buy (2.00),73,12.75%,52,8.90%,76,3.21%,92
IFF,International Flavors & Fragrances Inc.,STOCK,50.45,1.42x,53,5.71x,30,46.88x,100,2.26%,25,17.06%,22,13.02x,16,14.91x,91,0.11%,33,103.37%,99,N/A,N/A,0.81x,98,1.28x,93,-3.32%,0,Buy (1.68),83,-2.56%,0,-6.60%,3,4.97%,83
INCY,Incyte Corporation,STOCK,81.69,3.68x,100,7.92x,5,0.70x,71,N/A,N/A,28.89%,99,9.93x,98,10.71x,96,1.81%,42,104.20%,100,13.69x,97,0.36x,85,3.72x,26,26.71%,100,Buy (2.35),57,30.82%,100,20.90%,99,8.43%,51
INSM,Insmed Incorporated,STOCK,55.62,3.83x,100,5.41x,35,101.43x,69,N/A,N/A,-161.68%,0,-28.60x,100,178.91x,0,0.55%,35,102.58%,99,N/A,N/A,1.09x,81,38.64x,0,-210.54%,0,Strong Buy (1.19),93,-249.28%,0,152.60%,100,7.24%,64
INTC,Intel Corporation,STOCK,53.10,2.31x,99,1.38x,95,36.03x,97,N/A,N/A,26.36%,43,37.15x,31,67.29x,0,12.95%,98,61.85%,76,N/A,N/A,1.36x,55,4.35x,97,-5.90%,0,Hold (2.65),43,-2.91%,0,7.20%,66,2.87%,93
INTU,Intuit Inc.,STOCK,86.37,1.32x,41,2.84x,85,36.15x,97,1.16%,17,30.35%,66,18.71x,91,15.07x,98,2.35%,45,90.81%,98,25.95x,94,1.00x,88,5.81x,97,21.57%,86,Strong Buy (1.47),88,23.46%,99,17.40%,97,3.90%,89
INVH,Invitation Homes Inc.,STOCK,48.34,1.45x,56,3.01x,83,96.43x,74,4.17%,88,53.49%,100,17.27x,52,41.89x,3,0.33%,34,105.77%,100,30.03x,1,13.14x,0,1.86x,60,20.96%,84,Buy (2.32),59,6.19%,8,9.20%,77,4.37%,87
IP,International Paper Company,STOCK,47.30,1.21x,29,6.39x,18,64.44x,97,6.08%,99,16.90%,29,6.23x,99,11.85x,95,0.19%,33,102.27%,99,N/A,N/A,1.58x,34,1.17x,94,-13.77%,0,Buy (2.08),69,-16.04%,0,1.20%,25,15.15%,5
IQV,IQVIA Holdings Inc.,STOCK,73.01,0.75x,4,3.34x,78,245.93x,0,N/A,N/A,18.01%,55,13.98x,86,11.18x,96,1.09%,38,103.01%,99,20.12x,81,0.66x,100,4.11x,16,8.34%,33,Strong Buy (1.35),91,21.44%,97,10.30%,83,3.31%,91
IR,Ingersoll Rand Inc.,STOCK,59.14,2.23x,98,5.73x,29,46.67x,100,0.10%,6,25.96%,85,16.88x,56,20.27x,77,0.22%,34,96.50%,99,52.70x,3,0.76x,100,3.02x,49,7.54%,30,Buy (2.06),70,5.72%,7,7.60%,68,5.95%,76
IRM,Iron Mountain Incorporated,STOCK,48.54,0.77x,4,5.87x,27,N/A,N/A,2.72%,56,33.28%,98,23.62x,8,47.75x,1,0.91%,37,87.94%,98,138.25x,0,2.70x,49,-40.24x,100,3.76%,15,Buy (1.73),82,N/A,N/A,21.60%,99,3.66%,90
ISRG,"Intuitive Surgical, Inc.",STOCK,53.51,4.61x,100,4.03x,66,N/A,N/A,N/A,N/A,36.72%,100,40.59x,0,38.83x,6,0.56%,35,89.34%,98,55.56x,0,2.40x,2,9.28x,0,28.15%,100,Buy (1.94),75,17.23%,87,23.00%,100,1.89%,95
IT,"Gartner, Inc.",STOCK,61.27,1.00x,12,5.70x,30,1046.54x,0,N/A,N/A,20.17%,15,9.11x,98,9.94x,99,3.48%,52,108.28%,100,15.17x,99,0.78x,99,32.43x,58,11.22%,45,Hold (2.80),36,86.86%,100,2.20%,30,17.14%,2
ITW,Illinois Tool Works Inc.,STOCK,50.12,1.21x,28,7.20x,10,285.52x,0,2.42%,48,29.01%,93,18.24x,43,21.09x,74,0.38%,34,85.66%,97,23.74x,81,2.62x,1,22.86x,0,19.11%,76,Hold (3.39),15,93.72%,100,4.10%,43,3.12%,92
IVZ,Invesco Ltd.,STOCK,68.40,N/A,N/A,3.79x,70,14.83x,84,3.32%,72,20.23%,52,10.23x,95,8.73x,97,0.63%,36,94.72%,99,N/A,N/A,0.38x,87,1.18x,93,-3.69%,0,Buy (2.42),54,-1.54%,0,14.10%,94,6.60%,70
J,Jacobs Solutions Inc.,STOCK,62.02,1.33x,41,4.75x,50,65.17x,97,1.12%,16,10.32%,5,13.80x,81,16.07x,89,0.62%,36,91.93%,98,34.02x,44,0.50x,95,4.40x,11,3.50%,14,Buy (2.00),73,9.73%,25,12.30%,90,4.27%,87
JBHT,"J.B. Hunt Transport Services, Inc.",STOCK,49.04,1.26x,33,3.21x,80,43.62x,99,0.72%,11,13.25%,12,15.56x,68,27.52x,42,20.33%,87,77.68%,94,38.62x,26,2.45x,1,6.53x,1,5.13%,21,Buy (2.08),69,16.68%,84,4.60%,47,4.64%,85
JBL,Jabil Inc.,STOCK,69.16,1.01x,13,1.96x,93,328.91x,0,0.09%,6,7.28%,1,16.30x,94,23.51x,91,1.28%,39,98.25%,99,46.15x,35,0.82x,98,26.96x,72,2.48%,10,Buy (1.60),85,59.70%,100,23.10%,100,2.73%,93
JCI,Johnson Controls International plc,STOCK,43.50,0.99x,12,2.04x,92,73.34x,93,1.10%,16,17.25%,31,23.70x,8,26.05x,50,0.18%,33,95.35%,99,48.85x,6,2.65x,1,6.72x,0,14.17%,57,Buy (2.13),67,12.64%,51,6.80%,63,1.52%,96
JKHY,"Jack Henry & Associates, Inc.",STOCK,70.46,1.60x,73,5.54x,33,3.11x,74,1.53%,24,28.26%,54,16.02x,94,21.95x,93,0.60%,35,104.99%,100,22.13x,97,2.16x,5,5.05x,97,20.59%,82,Buy (1.69),83,24.28%,99,7.90%,70,8.09%,55
JNJ,Johnson & Johnson,STOCK,62.76,1.02x,14,2.59x,88,67.73x,96,2.36%,46,35.62%,100,16.89x,52,17.87x,85,0.06%,33,76.24%,93,26.33x,40,2.99x,0,6.71x,0,21.83%,87,Buy (2.12),68,26.42%,100,9.90%,81,0.91%,97
JPM,JPMorgan Chase & Co.,STOCK,66.16,N/A,N/A,2.66x,87,N/A,N/A,1.92%,34,0.00%,0,N/A,N/A,13.29x,94,0.41%,34,75.74%,93,14.96x,33,1.66x,28,2.43x,39,33.94%,100,Buy (2.16),66,16.47%,98,12.70%,91,1.01%,97
KDP,Keurig Dr Pepper Inc.,STOCK,64.56,2.31x,99,5.86x,27,85.98x,84,3.16%,69,26.22%,100,17.09x,9,11.52x,95,4.98%,61,97.76%,99,21.55x,29,0.98x,90,1.55x,89,10.81%,43,Buy (2.06),70,6.31%,8,9.40%,79,5.14%,82
